model,provider,release_date,mmlu,human_eval,gsm8k,truthful_qa,context_window,cost_input_1k,cost_output_1k,speed_tokens_per_sec,open_source,benchmark_score,tier,recommended_for
GPT-4o,OpenAI,2024-05,88.7,90.2,95.8,82.5,128000,0.005,0.015,85,False,89.7,Tier 1: Best in Class,"Long document analysis | Complex coding tasks | General purpose, maximum accuracy"
GPT-4 Turbo,OpenAI,2023-11,86.5,87.0,92.0,80.0,128000,0.01,0.03,60,False,86.7,Tier 2: Strong Performer,Long document analysis | Complex coding tasks
Claude 3.5 Sonnet,Anthropic,2024-06,89.0,92.0,96.0,85.0,200000,0.003,0.015,75,False,90.8,Tier 1: Best in Class,"Long document analysis | Complex coding tasks | General purpose, maximum accuracy"
Claude 3 Opus,Anthropic,2024-03,86.8,84.1,95.0,83.0,200000,0.015,0.075,40,False,87.3,Tier 2: Strong Performer,Long document analysis
Gemini 1.5 Pro,Google,2024-02,85.9,84.0,91.0,78.0,1000000,0.0035,0.0105,50,False,85.0,Tier 2: Strong Performer,Long document analysis
Gemini 1.5 Flash,Google,2024-02,79.0,74.0,86.0,72.0,1000000,0.00035,0.00105,120,False,77.9,Tier 3: Solid Choice,"Long document analysis | High volume, cost sensitive"
Llama 3 70B,Meta,2024-04,82.0,80.0,87.0,75.0,8192,0.00065,0.00087,90,True,81.2,Tier 2: Strong Performer,"High volume, cost sensitive | Self hosted, data privacy"
Llama 3 8B,Meta,2024-04,66.0,56.0,72.0,55.0,8192,6e-05,8e-05,140,True,62.3,Tier 4: Entry Level,"High volume, cost sensitive | Self hosted, data privacy"
Mistral Large,Mistral,2024-02,84.0,82.0,90.0,76.0,32000,0.002,0.006,80,True,83.3,Tier 2: Strong Performer,"Self hosted, data privacy"
Mixtral 8x7B,Mistral,2023-12,68.0,54.0,70.0,60.0,32000,0.0002,0.0006,110,True,62.7,Tier 4: Entry Level,"High volume, cost sensitive | Self hosted, data privacy"
